ID da atividade,Data da atividade,Nome da atividade,Tipo de atividade,Descrição da atividade,Tempo decorrido,Distância,Frequência cardíaca máxima,Esforço relativo,Deslocamento,Observação privada da atividade,Equipamento da atividade,Nome do arquivo,Peso do atleta,Peso da bicicleta,Tempo decorrido,Tempo de movimentação,Distância,Velocidade máx.,Velocidade média,Ganho de elevação,Perda de elevação,Elevação mínima,Elevação máxima,Inclinação máxima,Inclinação média,Inclinação positiva média,Inclinação negativa média,Cadência máxima,Cadência média,Frequência cardíaca máxima,Frequência cardíaca média,Máximo de watts,Média de watts,Calorias,Temperatura máxima,Temperatura média,Esforço relativo,Total de trabalho,Número de corridas,Tempo de subida,Tempo de descida,Outro tempo,Percepção de esforço,Tipo,Hora de início,Média ponderada de potência,Contagem de potência,Usar Percepção de esforço,Percepção de esforço relativo,Deslocamento,Peso total levantado,Da atividade carregada,Distância ajustada à inclinação,Tempo de observação do clima,Condição climática,Temperatura atmosférica,Temperatura aparente,Ponto de orvalho,Umidade,Pressão atmosférica,Velocidade do vento,Rajada de vento,Direção do vento,Intensidade da precipitação,Hora do nascer do sol,Hora do pôr do sol,Fase da lua,Bicicleta,Equipamento,Probabilidade de precipitação,Tipo de precipitação,Nebulosidade,Visibilidade,Índice UV,Previsão de ozônio,Contagem de pulos,Garra total,Fluxo médio,Sinalizado,Velocidade média (tempo decorrido),Distância na terra,Distância recém-explorada,Distância de terra recém-explorada,Contagem de atividades,Total de passos,Economia de carbono,Extensão da piscina,Carga de treinamento,Intensidade,Ritmo Ajustado à inclinação média,Tempo do temporizador,Total de ciclos,Recuperação,Com animal de estimação,Competição,Corrida longa,Por uma causa,Com criança,Distância da descida,Total de séries,Total de repetições,Mídia
18609464501,"22 de mai. de 2026, 10:04:34",Morning Weight Training,Treinamento com peso,,18222,0,,,false,,,activities/19716282988.fit.gz,,,18222.0,18222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,560.0,,,,,,,,,,,,,,,,0.0,2774.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,23,229,""
18607086960,"21 de mai. de 2026, 12:05:09",peito+tríceps,Treinamento com peso,"",2822,0,,,false,,,activities/19713853410.fit.gz,,,2822.0,2822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,188.0,,,,,,,,,,,,,,,,0.0,3886.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,21,183,""
18580492872,"20 de mai. de 2026, 09:41:51",T10K | Z3 > Z2,Corrida,"",3355,"10,02",,,false,,Fila Racer Speedzone,activities/19686835140.fit.gz,,,3355.0,3351.0,10019.6,5.2,2.99,132.0,146.0,751.2,793.6,20.8,-0.1,,,88.0,83.0,,,,336.0,617.0,,,,,,,,,,,,336.0,3356.0,0.0,,0.0,,1.0,10331.5,,,,,,,,,,,,,,,,23620613.0,,,,,,,,,,,2.986,664.9,,,,9238.0,0.0,,174.0,137.0,3.083,,,,,,,,,,,,media/43290cfa-b102-45e5-99da-3e79ff08aef7.jpg
18560191145,"18 de mai. de 2026, 20:23:03",peito+tríceps,Treinamento com peso,"",3099,0,,,false,,,activities/19666317383.fit.gz,,,3099.0,3099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,234.0,,,,,,,,,,,,,,,,0.0,2737.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,23,252,""
18548287040,"17 de mai. de 2026, 19:31:36","L15k | Pace 5'07"" | 250m D+",Corrida,"",4614,"15,02",,,false,,New Balance Propel v5 Propel v5,activities/19654299107.fit.gz,,,4614.0,4614.0,15028.8,4.52,3.257,251.0,260.0,753.0,819.8,25.2,-0.1,,,87.0,83.0,,,,357.0,1061.0,,,,,,,,,,,,358.0,4615.0,0.0,,0.0,,1.0,15763.3,,,,,,,,,,,,,,,,26740046.0,,,,,,,,,,,3.257,1874.7,,,,12302.0,0.0,,272.0,146.0,3.416,,,,,,,,,,,,""
18534993121,"16 de mai. de 2026, 19:30:29","B60k | Bloco 30k @ 29,5 km/h",Pedalada,"",9162,"60,13",,,false,,Tropix Madrid,activities/19640803928.fit.gz,,10.0,9162.0,8718.0,60130.1,12.22,6.897,277.0,278.0,715.4,782.0,46.6,0.0,,,,,,,,139.0,1712.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,17741069.0,,,,,,,,,,,,6.563,187.3,,,,,0.0,,,,,,,,,,,,,,,,""
18521927545,"15 de mai. de 2026, 21:24:18","T15k | Pace 5'16"" | 200m D+",Corrida,"",4764,"15,06",,,false,,Fila Racer T2 T2,activities/19627572617.fit.gz,,,4764.0,4764.0,15063.2,5.76,3.162,234.0,242.0,750.0,794.4,33.9,-0.1,,,90.0,83.0,,,,351.0,1129.0,,,,,,,,,,,,352.0,4765.0,0.0,,0.0,,1.0,15896.7,,,,,,,,,,,,,,,,19912724.0,,,,,,,,,,,3.162,1525.5,,,,12722.0,0.0,,270.0,143.0,3.337,,,,,,,,,,,,""
18504347541,"14 de mai. de 2026, 12:54:34",peito+tríceps+ombros,Treinamento com peso,"",2666,0,,,false,,,activities/19609855314.fit.gz,,,2666.0,2666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,188.0,,,,,,,,,,,,,,,,0.0,3487.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,25,260,media/3681489a-de63-4658-a0be-ae5c35821ce8.jpg
18488483397,"13 de mai. de 2026, 09:20:40","T10K | progressão| 5'16"" 🍃",Corrida,"",3212,"10,03",,,false,,Fila Racer Speedzone,activities/19593854729.fit.gz,,,3212.0,3174.0,10038.9,4.66,3.163,124.0,136.0,750.0,792.6,22.0,-0.1,,,88.0,85.0,,,,350.0,648.0,,,,,,,,,,,,348.0,3213.0,0.0,,0.0,,1.0,10325.1,,,,,,,,,,,,,,,,23620613.0,,,,,,,,,,,3.125,140.7,,,,8690.0,0.0,,178.0,141.0,3.253,,,,,,,,,,,,media/f6523990-a202-487f-a281-859fb1e631dd.jpg
18475790275,"12 de mai. de 2026, 11:01:26",costas+bíceps,Treinamento com peso,"",2407,0,,,false,,,activities/19581072666.fit.gz,,,2407.0,2407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,215.0,,,,,,,,,,,,,,,,0.0,5484.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,21,237,media/01ca1470-4803-4448-b59d-4499128172a8.jpg
18471624417,"11 de mai. de 2026, 22:53:40","B68k | Bloco 40k @ 36,8 km/h",Pedalada,"",11648,"68,29",,,false,,Tropix Madrid,activities/19576865399.fit.gz,,10.0,11648.0,8301.0,68293.3,13.44,8.227,320.0,320.0,718.2,805.0,31.6,0.0,,,,,,,,189.0,1389.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,17741069.0,,,,,,,,,,,,5.863,258.1,,,,,0.0,,,,,,,,,,,,,,,,""
18464781175,"11 de mai. de 2026, 14:29:25",Costas+tríceps,Treinamento com peso,"",2473,0,,,false,,,activities/19570000189.fit.gz,,,2473.0,2473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,137.0,,,,,,,,,,,,,,,,0.0,2895.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,19,220,media/d20b3076-6daa-4f8a-bbc3-37af89a47a35.jpg
18444853153,"9 de mai. de 2026, 21:27:24",B35k | 90' | Z2/Z3,Pedalada,"",5895,"35,10",,,false,,Tropix Madrid,activities/19549787116.fit.gz,,10.0,5895.0,5594.0,35103.6,12.64,6.275,183.0,201.0,722.2,793.6,44.4,-0.1,,,,,,,,117.0,918.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,17741069.0,,,,,,,,,,,,5.955,814.3,,,,,0.0,,,,,,,,,,,,,,,,media/96a5ccc2-f108-487e-bbb9-9ea6877a4898.jpg
18430669657,"8 de mai. de 2026, 21:11:42","T10k | Pace 5'18"" ↕️",Corrida,"",3242,"10,09",,,false,,Fila Racer Speedzone,activities/19535432323.fit.gz,,,3242.0,3211.0,10096.0,4.58,3.144,49.6,54.0,761.6,787.4,12.6,-0.2,,,86.0,82.0,,,,349.0,710.0,,,,,,,,,,,,347.0,3243.0,0.0,,0.0,,1.0,10117.6,,,,,,,,,,,,,,,,23620613.0,,,,,,,,,,,3.114,1470.5,,,,8976.0,0.0,,183.0,141.0,3.132,,,,,,,,,,,,""
18409997190,"7 de mai. de 2026, 09:15:21","T10K | 60'00"" | Z2",Corrida,"",3712,"10,05",,,false,,Fila Racer Speedzone,activities/19514583732.fit.gz,,,3712.0,3691.0,10052.1,4.8,2.723,130.0,133.0,753.4,810.6,22.4,0.0,,,91.0,83.0,,,,322.0,624.0,,,,,,,,,,,,321.0,3713.0,0.0,,0.0,,1.0,10381.5,,,,,,,,,,,,,,,,23620613.0,,,,,,,,,,,2.708,1253.7,,,,10180.0,0.0,,174.0,130.0,2.813,,,,,,,,,,,,media/f5de3b48-7b5f-4e9c-889d-587f58b1d79e.jpg
18401285580,"6 de mai. de 2026, 13:31:15",costas+bíceps,Treinamento com peso,"",3328,0,,,false,,,activities/19505820673.fit.gz,,,3328.0,3328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,199.0,,,,,,,,,,,,,,,,0.0,6305.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,25,267,media/0a58fdec-ab4a-4a7a-b4d6-f72b5ad4af5c.jpg
18379173853,"4 de mai. de 2026, 21:53:38",B30k | 90' Regenerativo Z2,Pedalada,"",5594,"31,79",,,false,,Tropix Madrid,activities/19483529949.fit.gz,,10.0,5594.0,5231.0,31792.6,11.62,6.078,118.0,138.0,707.2,780.4,33.3,-0.1,,,,,,,,89.0,826.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,17741069.0,,,,,,,,,,,,5.683,187.7,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,media/c7128e31-2249-4c51-bcb6-22b2a94c2f03.jpg
18375945142,"4 de mai. de 2026, 14:23:54",Lunch Weight Training,Treinamento com peso,,2496,0,,,false,,,activities/19480277080.fit.gz,,,2496.0,2496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,139.0,,,,,,,,,,,,,,,,0.0,3399.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,24,252,""
18364709880,"3 de mai. de 2026, 19:08:40","T10k | Pace 5'00""🔥",Corrida,"",3006,"10,03",,,false,,Fila Racer T2 T2,activities/19468934742.fit.gz,,,3006.0,3006.0,10029.6,4.46,3.337,134.0,129.0,748.0,772.8,12.9,0.1,,,88.0,84.0,,,,364.0,693.0,,,,,,,,,,,,364.0,3007.0,0.0,,0.0,,1.0,10314.1,,,,,,,,,,,,,,,,19912724.0,,,,,,,,,,,3.337,338.3,,,,8290.0,0.0,,182.0,148.0,3.431,,,0.0,0.0,,,,0.0,,,,""
18352137249,"2 de mai. de 2026, 21:08:37","T10K | 60'00"" | Z2",Corrida,"",3674,"10,03",,,false,,New Balance Propel v5 Propel v5,activities/19456163902.fit.gz,,,3674.0,3664.0,10035.6,3.62,2.739,32.0,46.0,764.6,788.8,12.5,-0.1,,,85.0,81.0,,,,322.0,643.0,,,,,,,,,,,,321.0,3675.0,0.0,,0.0,,1.0,10075.1,,,,,,,,,,,,,,,,26740046.0,,,,,,,,,,,2.732,2069.8,,,,9912.0,0.0,,173.0,130.0,2.75,,,0.0,0.0,,,,0.0,,,,""
18339386158,"1 de mai. de 2026, 22:05:53","T15k | Pace 5'16"" | 200m D+",Corrida,"",4851,"15,02",,,false,,Fila Racer Speedzone,activities/19443230820.fit.gz,,,4851.0,4742.0,15027.2,4.46,3.169,201.0,202.0,749.2,795.2,23.9,0.0,,,91.0,83.0,,,,352.0,1081.0,,,,,,,,,,,,350.0,4852.0,0.0,,0.0,,1.0,15700.2,,,,,,,,,,,,,,,,23620613.0,,,,,,,,,,,3.098,1757.8,,,,12908.0,0.0,,272.0,142.0,3.311,,,0.0,0.0,,,,0.0,,,,""
18334625759,"1 de mai. de 2026, 12:44:22",Passeio - Liberdade,Caminhada,"",9011,"3,05",,,false,,,activities/19438415175.fit.gz,,,9011.0,2927.0,3053.6,3.72,1.043,132.0,139.0,750.2,782.0,49.5,-0.2,,,79.0,48.0,,,,,616.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.339,0.0,,,,4700.0,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
18331114658,"30 de abr. de 2026, 11:06:47",Morning Weight Training,Treinamento com peso,,2564,0,,,false,,,activities/19434862661.fit.gz,,,2564.0,2564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,275.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,23,195,""
18290886587,"28 de abr. de 2026, 10:54:23",bostas+bíceps,Treinamento com peso,"",3366,0,,,false,,,activities/19394324761.fit.gz,,,3366.0,3366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,301.0,,,,,,,,,,,,,,,,0.0,4920.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,20,226,""
18284896076,"27 de abr. de 2026, 22:05:32","T7k | 45'00"" | Z2",Corrida,"",2731,"7,26",,,false,,Fila Racer Speedzone,activities/19388286713.fit.gz,,,2731.0,2727.0,7261.2,4.22,2.663,53.0,60.0,749.2,778.4,13.9,-0.1,,,84.0,82.0,,,,315.0,471.0,,,,,,,,,,,,315.0,2732.0,0.0,,0.0,,1.0,7341.9,,,,,,,,,,,,,,,,23620613.0,,,,,,,,,,,2.659,673.4,,,,7482.0,0.0,,124.0,128.0,2.692,,,1.0,0.0,,,,0.0,,,,media/6844ebb1-7139-4315-8058-d7ce33041d2e.jpg
18284895534,"27 de abr. de 2026, 20:32:52",peito+tríceps+ombros,Treinamento com peso,"",3330,0,,,false,,,activities/19388286253.fit.gz,,,3330.0,3330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,170.0,,,,,,,,,,,,,,0.0,,0.0,2450.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,21,235,""
18272426669,"26 de abr. de 2026, 19:06:56",B60k | Bloco 60' @ 31 km/h,Pedalada,"",9230,"60,15",,,false,,Tropix Madrid,activities/19375725893.fit.gz,,10.0,9230.0,8388.0,60155.1,13.36,7.172,117.0,124.0,728.8,788.8,25.0,0.0,,,,,,,,116.0,1784.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,17741069.0,,,,,,,,,,,,6.517,257.8,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,media/3f912632-48e4-4ce4-b09f-2bc17f3581d0.jpg
18244297154,"24 de abr. de 2026, 21:43:35","T10k | Pace 4'49""🔥",Corrida,"",3000,"10,02",,,false,,New Balance Propel v5 Propel v5,activities/19347245804.fit.gz,,,3000.0,3000.0,10025.0,4.72,3.342,129.0,135.0,748.6,780.8,12.5,-0.1,,,87.0,84.0,,,,360.0,684.0,,,,,,,,,,,,360.0,3001.0,0.0,,0.0,,1.0,10286.7,,,,,,,,,,,,,,,,26740046.0,,,,,,,,,,,3.342,153.4,,,,8178.0,0.0,,178.0,146.0,3.429,,,0.0,0.0,,,,0.0,,,,media/f05e3689-50b6-485a-a321-dd25d8b9e770.jpg
18243588820,"24 de abr. de 2026, 20:18:11",Costas+bíceps,Treinamento com peso,"",2590,0,,,false,,,activities/19346533805.fit.gz,,,2590.0,2590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,156.0,,,,,,,,,,,,,,0.0,,0.0,5458.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,23,220,""
18223479370,"23 de abr. de 2026, 09:22:06","T10K | 60'0"" | Z2",Corrida,"",3645,"10,04",,,false,,Fila Racer Speedzone,activities/19326268654.fit.gz,,,3645.0,3641.0,10042.7,4.2,2.758,38.0,41.0,749.2,777.8,7.5,-0.1,,,93.0,83.0,,,,323.0,613.0,,,,,,,,,,,,323.0,3646.0,0.0,,0.0,,1.0,10075.6,,,,,,,,,,,,,,,,23620613.0,,,,,,,,,,,2.755,412.5,,,,10090.0,0.0,,174.0,131.0,2.767,,,0.0,0.0,,,,0.0,,,,""
18211985674,"22 de abr. de 2026, 12:58:23",peito+tríceps,Treinamento com peso,"",2599,0,,,false,,,activities/19314709871.fit.gz,,,2599.0,2599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,172.0,,,,,,,,,,,,,,,,0.0,2280.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,19,214,media/a45969eb-537d-49f1-9e97-dd02c072de92.jpg
18183373121,"20 de abr. de 2026, 09:41:55",B60k | Bloco 60' @ 31 km/h,Pedalada,"",9754,"62,91",,,false,,Tropix Madrid,activities/19285932509.fit.gz,,10.0,9754.0,8915.0,62911.1,11.84,7.057,232.0,237.0,716.0,793.0,42.9,0.0,,,,,,,,140.0,1610.0,,,,,,,,,8.0,,,,,0.0,383.0,0.0,,1.0,,,,,,,,,,,,,,,,17741069.0,,,,,,,,,,,,6.45,476.6,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,media/c09cd979-dced-4dbf-a7d7-3c0a606b693e.jpg|media/c93302b7-5847-4d83-ba86-4362a6a08a58.jpg
18181462735,"20 de abr. de 2026, 09:27:34",Morning Ride,Pedalada,,164,"0,02",,,false,,Tropix Madrid,activities/19284008736.fit.gz,,10.0,164.0,55.0,23.8,0.626,0.433,0.0,0.0,762.8,763.4,7.8,1.7,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,17741069.0,,,,,,,,,,,,0.145,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
18178325887,"19 de abr. de 2026, 20:22:58","T14K | 90'0"" | Z2",Corrida,"",5451,"14,15",,,false,,Fila Racer T2 T2,activities/19280829790.fit.gz,,,5451.0,5410.0,14153.5,3.72,2.616,121.0,140.0,748.4,804.8,11.7,-0.1,,,85.0,82.0,,,,312.0,973.0,,,,,,,,,,,,312.0,5452.0,0.0,,0.0,,1.0,14288.6,,,,,,,,,,,,,,,,19912724.0,,,,,,,,,,,2.596,1567.3,,,,14674.0,0.0,,243.0,127.0,2.641,,,0.0,0.0,,,,0.0,,,,""
18178325528,"19 de abr. de 2026, 17:23:00",Afternoon Workout,Treino,,6605,0,,,false,,,activities/19280829529.fit.gz,,,6605.0,6605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,585.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,""
18150392424,"17 de abr. de 2026, 22:23:50",Evening Run,Corrida,,401,"1,02",,,false,,Fila Racer Speedzone,activities/19252547172.fit.gz,,,401.0,401.0,1026.7,3.26,2.56,19.0,8.0,761.0,774.0,16.5,0.9,,,85.0,83.0,,,,303.0,91.0,,,,,,,,,,,,295.0,402.0,,,0.0,,1.0,1096.9,,,,,,,,,,,,,,,,23620613.0,,,,,,,,,,,2.56,0.0,,,,1104.0,0.0,,16.0,120.0,2.735,,,,,,,,,,,,""
